row_id concept1 concept1_nbr_inst concept1_nbr_unique_instances concept2 concept2_nbr_inst concept2_nbr_unique_instances inter_no_sameas inter_with_sameas union_no_sameas union_with_sameas jacc_no_sameas jacc_with_sameas isSubset_LOD isSubset_no_sameAs isSubset_with_sameas diff_with_sameas
115 http://schema.org/StadiumOrArena 29288 20700 http://linkedgeodata.org/ontology/Stadium 15100 15100 0 0 44388 35800 0.0 0.0 False False False 0
116 http://schema.org/StadiumOrArena 29288 20700 http://dbpedia.org/ontology/Arena 1560 1466 1560 1466 29288 20700 0.0533 0.0708 False True True 32.83
117 http://schema.org/LandmarksOrHistoricalBuildings 27084 26697 http://dbpedia.org/ontology/HistoricBuilding 12187 11833 12187 11833 27084 26697 0.45 0.4432 False True True -1.51
118 http://dbpedia.org/ontology/RadioStation 25816 25736 http://schema.org/RadioStation 23471 23391 23471 23391 25816 25736 0.9092 0.9089 False True True -0.03
119 http://purl.org/ontology/bibo/Conference 24847 24847 http://umbel.org/umbel/sc/Conference 76 76 0 0 24923 24923 0.0 0.0 False False False 0
120 http://dbpedia.org/ontology/Museum 23785 21646 http://schema.org/Museum 15974 13835 15974 13835 23785 21646 0.6716 0.6391 False True True -4.84
121 http://sw.opencyc.org/2008/06/10/concept/en/Individual 23071 23056 http://umbel.org/umbel/ac/Individual 511 511 0 2 23582 23565 0.0 0.0001 False False False 9999
122 http://linkedgeodata.org/ontology/Mall 21957 21957 http://dbpedia.org/ontology/ShoppingMall 8731 8692 0 0 30688 30649 0.0 0.0 False False False 0
123 http://purl.org/ontology/bibo/Newspaper 18827 18827 http://umbel.org/umbel/sc/NewspaperSeries 231 231 0 0 19058 19058 0.0 0.0 False False False 0
124 http://linkedgeodata.org/ontology/Theatre 18777 18777 http://dbpedia.org/ontology/Theatre 2994 2943 0 0 21771 21720 0.0 0.0 False False False 0
125 http://dbpedia.org/ontology/Song 18607 17258 http://schema.org/MusicRecording 15389 14043 15389 14043 18607 17258 0.8271 0.8137 False True True -1.62
126 http://dbpedia.org/ontology/Country 18385 13783 http://rdf.insee.fr/geo/Pays 1 1 0 0 18386 13784 0.0 0.0 False False False 0
127 http://dbpedia.org/ontology/Country 18385 13783 http://linkedgeodata.org/ontology/Country 229 229 0 0 18614 14012 0.0 0.0 False False False 0
128 http://dbpedia.org/ontology/Country 18385 13783 http://schema.org/Country 17249 12654 17249 12654 18385 13783 0.9382 0.9181 False True True -2.14
129 http://schema.org/TelevisionStation 17543 15046 http://dbpedia.org/ontology/TelevisionStation 17543 15046 17543 15046 17543 15046 1.0 1.0 False True True 0
130 http://schema.org/Country 17249 12654 http://rdf.insee.fr/geo/Pays 1 1 0 0 17250 12655 0.0 0.0 False False False 0
131 http://purl.org/linked-data/cube#DataSet 16653 16653 http://purl.org/NET/scovo#Dataset 21 21 0 0 16674 16674 0.0 0.0 False False False 0
132 http://umbel.org/umbel/ac/Artifact 14809 14809 http://sw.opencyc.org/2008/06/10/concept/en/Artifact 4 4 0 0 14813 14813 0.0 0.0 False False False 0
133 http://swrc.ontoware.org/ontology#Book 13772 13772 http://lsdis.cs.uga.edu/projects/semdis/opus#Book 1335 1335 0 0 15107 15107 0.0 0.0 False False False 0
134 http://dbpedia.org/ontology/Hospital 11241 11206 http://schema.org/Hospital 10776 10741 10776 10741 11241 11206 0.9586 0.9585 False True True -0.01
135 http://lsdis.cs.uga.edu/projects/semdis/opus#Proceedings 9900 9900 http://purl.org/net/nknouf/ns/bibtex#Proceedings 85 85 0 0 9985 9985 0.0 0.0 False False False 0
136 http://linkedgeodata.org/ontology/Canal 9741 9741 http://dbpedia.org/ontology/Canal 726 699 0 0 10467 10440 0.0 0.0 False False False 0
137 http://www4.wiwiss.fu-berlin.de/drugbank/vocab/resource/class/Offer 9335 9058 http://dbpedia.org/ontology/Drug 6657 6600 0 13 15992 15645 0.0 0.0008 False False False 9999
138 http://www4.wiwiss.fu-berlin.de/drugbank/vocab/resource/class/Offer 9335 9058 http://www4.wiwiss.fu-berlin.de/drugbank/resource/drugbank/drugs 4772 4772 4772 4772 9335 9058 0.5112 0.5268 False True True 3.05
139 http://www4.wiwiss.fu-berlin.de/drugbank/vocab/resource/class/Offer 9335 9058 http://www4.wiwiss.fu-berlin.de/dailymed/resource/dailymed/drugs 4308 4082 4308 4082 9335 9058 0.4615 0.4507 False True True -2.34
140 http://rdfs.org/sioc/ns#UserAccount 9242 9242 http://rdf.myexperiment.org/ontologies/base/User 5 5 0 0 9247 9247 0.0 0.0 False False False 0
141 http://sw.opencyc.org/2008/06/10/concept/en/ExistingObjectType 9175 9175 http://umbel.org/umbel/ac/ExistingObjectType 5592 5592 0 0 14767 14767 0.0 0.0 False False False 0
