row_id concept1 concept1_nbr_inst concept1_nbr_unique_instances concept2 concept2_nbr_inst concept2_nbr_unique_instances inter_no_sameas inter_with_sameas union_no_sameas union_with_sameas jacc_no_sameas jacc_with_sameas isSubset_LOD isSubset_no_sameAs isSubset_with_sameas diff_with_sameas
149 http://lsdis.cs.uga.edu/projects/semdis/opus#Proceedings 9900 9900 http://purl.org/net/nknouf/ns/bibtex#Proceedings 85 85 0 0 9985 9985 0.0 0.0 False False False 0
150 http://linkedgeodata.org/ontology/Canal 9741 9741 http://dbpedia.org/ontology/Canal 726 597 0 0 10467 10338 0.0 0.0 False False False 0
151 http://www4.wiwiss.fu-berlin.de/drugbank/vocab/resource/class/Offer 9335 4985 http://www4.wiwiss.fu-berlin.de/drugbank/resource/drugbank/drugs 4772 4392 4772 4392 9335 4985 0.5112 0.881 False True True 72.34
152 http://www4.wiwiss.fu-berlin.de/drugbank/vocab/resource/class/Offer 9335 4985 http://www4.wiwiss.fu-berlin.de/dailymed/resource/dailymed/drugs 4308 1222 4308 1222 9335 4985 0.4615 0.2451 False True True -46.89
153 http://www4.wiwiss.fu-berlin.de/drugbank/vocab/resource/class/Offer 9335 4985 http://dbpedia.org/ontology/Drug 6657 5516 0 1196 15992 9305 0.0 0.1285 False False False 9999
154 http://rdfs.org/sioc/ns#UserAccount 9242 9241 http://rdf.myexperiment.org/ontologies/base/User 5 5 0 0 9247 9246 0.0 0.0 False False False 0
155 http://sw.opencyc.org/2008/06/10/concept/en/GeographicalAgent 8905 8661 http://umbel.org/umbel/ac/GeographicalAgent 2 2 0 1 8907 8662 0.0 0.0001 False False False 9999
156 http://sw.opencyc.org/2008/06/10/concept/en/GeopoliticalEntity 8876 8638 http://umbel.org/umbel/sc/GeopoliticalEntity 136 112 0 2 9012 8748 0.0 0.0002 False False False 9999
157 http://sw.opencyc.org/2008/06/10/concept/en/FacetInstanceCollection 8762 8655 http://umbel.org/umbel/ac/FacetInstanceCollection 1 1 0 1 8763 8655 0.0 0.0001 False False True 9999
158 http://dbpedia.org/ontology/ShoppingMall 8731 6999 http://schema.org/ShoppingCenter 8352 6711 8352 6711 8731 6999 0.9566 0.9589 False True True 0.24
159 http://purl.org/linguistics/gold/Language 8202 8202 http://www.lingvoj.org/ontology#Lingvo 522 469 0 1 8724 8670 0.0 0.0001 False False False 9999
