concept_id;concept_uri;nb_instances;inference;comment
851;http://umbel.org/umbel/sc/FamilyRelationsConcept;2;(with;inf)
854;http://sw.opencyc.org/2008/06/10/concept/en/FamousHuman;2;(no;inf)
854;http://sw.opencyc.org/2008/06/10/concept/en/FamousHuman;2;(with;inf)
867;http://umbel.org/umbel/sc/Formality;2;(no;inf)
867;http://umbel.org/umbel/sc/Formality;2;(with;inf)
900;http://sw.opencyc.org/2008/06/10/concept/en/Highway;2;(no;inf)
900;http://sw.opencyc.org/2008/06/10/concept/en/Highway;2;(with;inf)
912;http://sw.opencyc.org/2008/06/10/concept/en/HumanChild;2;(no;inf)
912;http://sw.opencyc.org/2008/06/10/concept/en/HumanChild;2;(with;inf)
919;http://umbel.org/umbel/sc/IndependentRepublic;2;(no;inf)
919;http://umbel.org/umbel/sc/IndependentRepublic;2;(with;inf)
920;http://sw.opencyc.org/2008/06/10/concept/en/IndependentRepublic;2;(no;inf)
920;http://sw.opencyc.org/2008/06/10/concept/en/IndependentRepublic;2;(with;inf)
922;http://sw.opencyc.org/2008/06/10/concept/en/IndependentSultanate;2;(no;inf)
922;http://sw.opencyc.org/2008/06/10/concept/en/IndependentSultanate;2;(with;inf)
927;http://umbel.org/umbel/sc/Infant_care_equipment;2;(no;inf)
927;http://umbel.org/umbel/sc/Infant_care_equipment;2;(with;inf)
937;http://umbel.org/umbel/sc/IslamicRepublic;2;(no;inf)
937;http://umbel.org/umbel/sc/IslamicRepublic;2;(with;inf)
941;http://umbel.org/umbel/sc/IslandRegion;2;(no;inf)
941;http://umbel.org/umbel/sc/IslandRegion;2;(with;inf)
950;http://sw.opencyc.org/2008/06/10/concept/en/LandTopographicalFeature;2;(no;inf)
964;http://sw.opencyc.org/2008/06/10/concept/en/LegalCode;2;(no;inf)
970;http://sw.opencyc.org/2008/06/10/concept/en/LivestockType;2;(no;inf)
970;http://sw.opencyc.org/2008/06/10/concept/en/LivestockType;2;(with;inf)
979;http://sw.opencyc.org/2008/06/10/concept/en/Mammal;2;(with;inf)
987;http://sw.opencyc.org/2008/06/10/concept/en/Marina;2;(no;inf)
987;http://sw.opencyc.org/2008/06/10/concept/en/Marina;2;(with;inf)
1022;http://sw.opencyc.org/2008/06/10/concept/en/MusicalPerformance;2;(with;inf)
1036;http://umbel.org/umbel/sc/OceanLiner;2;(no;inf)
1036;http://umbel.org/umbel/sc/OceanLiner;2;(with;inf)
1053;http://sw.opencyc.org/2008/06/10/concept/en/OrganizationPolicy;2;(no;inf)
1053;http://sw.opencyc.org/2008/06/10/concept/en/OrganizationPolicy;2;(with;inf)
1086;http://sw.opencyc.org/2008/06/10/concept/en/Planet;2;(no;inf)
1100;http://sw.opencyc.org/2008/06/10/concept/en/ProperNameString;2;(no;inf)
1100;http://sw.opencyc.org/2008/06/10/concept/en/ProperNameString;2;(with;inf)
1109;http://umbel.org/umbel/sc/RadioReceiverState;2;(no;inf)
1109;http://umbel.org/umbel/sc/RadioReceiverState;2;(with;inf)
1114;http://sw.opencyc.org/2008/06/10/concept/en/RailroadStation;2;(no;inf)
1114;http://sw.opencyc.org/2008/06/10/concept/en/RailroadStation;2;(with;inf)
1118;http://sw.opencyc.org/2008/06/10/concept/en/Reef;2;(with;inf)
1121;http://umbel.org/umbel/sc/ReincarnationBeliefSystems;2;(no;inf)
1121;http://umbel.org/umbel/sc/ReincarnationBeliefSystems;2;(with;inf)
1128;http://sw.opencyc.org/2008/06/10/concept/en/ReligiousPerson;2;(no;inf)
1129;http://umbel.org/umbel/sc/RepresentativeDemocracy;2;(no;inf)
1129;http://umbel.org/umbel/sc/RepresentativeDemocracy;2;(with;inf)
1146;http://sw.opencyc.org/2008/06/10/concept/en/SchoolCampus;2;(no;inf)
1146;http://sw.opencyc.org/2008/06/10/concept/en/SchoolCampus;2;(with;inf)
1152;http://sw.opencyc.org/2008/06/10/concept/en/ScientificTechnique;2;(no;inf)
1152;http://sw.opencyc.org/2008/06/10/concept/en/ScientificTechnique;2;(with;inf)
1154;http://sw.opencyc.org/2008/06/10/concept/en/Sculpture;2;(no;inf)
1155;http://umbel.org/umbel/sc/Seacoast;2;(no;inf)
1155;http://umbel.org/umbel/sc/Seacoast;2;(with;inf)
1157;http://umbel.org/umbel/sc/SecurityClearanceLevel;2;(no;inf)
1157;http://umbel.org/umbel/sc/SecurityClearanceLevel;2;(with;inf)
1162;http://sw.opencyc.org/2008/06/10/concept/en/Ski_equipment;2;(no;inf)
1162;http://sw.opencyc.org/2008/06/10/concept/en/Ski_equipment;2;(with;inf)
1164;http://sw.opencyc.org/2008/06/10/concept/en/SocialGathering;2;(no;inf)
1180;http://sw.opencyc.org/2008/06/10/concept/en/SpiralGalaxy;2;(no;inf)
1180;http://sw.opencyc.org/2008/06/10/concept/en/SpiralGalaxy;2;(with;inf)
1207;http://sw.opencyc.org/2008/06/10/concept/en/TelephoneState;2;(no;inf)
